filename,label,has_horizon,has_stars,sharp,bright_enough,not_noisy,flickering
J125219p264053_001_010_1045_1041_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1051_1720_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1052_947_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1063_950_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1087_1248_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1102_1431_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1119_1802_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1132_1568_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1163_302_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1188_523_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1202_102_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1204_996_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1223_196_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1224_408_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1230_162_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1233_1967_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1233_911_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1243_235_6.jpg,rejected,False,True,True,True,False,True
J125219p264053_001_010_1251_326_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1262_1344_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1263_212_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1275_1229_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1291_101_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1297_326_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1308_811_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1315_484_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1322_1564_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1332_1192_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1354_1374_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_135_987_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1360_1754_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1367_1210_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1373_927_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1382_516_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1391_1497_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1393_102_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1395_1172_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1395_2004_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1411_1105_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1413_1172_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1414_560_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_141_1210_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1440_915_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1447_1454_6.jpg,rejected,False,False,True,True,False,True
J125219p264053_001_010_1460_501_6.jpg,rejected,False,False,True,True,False,True
